Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2020,Fundación,Norte,Total,55.54,82.93,168.95,53.22,118.79,14.42,0
2021,Fundación,Norte,Total,197,74.05,203.99,64.27,141.12,12.57,9.9
2018,Fundación,Norte,Hombre,77.66,86.11,170.45,116.05,167.17,39.15,0
2019,Fundación,Norte,Hombre,44.37,124.05,185.03,93.34,131.24,18.51,0
2020,Fundación,Norte,Hombre,64.78,83.36,217.33,97.47,144.51,13.51,0
2021,Fundación,Norte,Hombre,226.66,65.17,198.33,121.83,150.16,14.17,7.6
2018,Fundación,Norte,Mujer,37.47,107.81,210.57,14.44,133.23,29.55,0
2019,Fundación,Norte,Mujer,47.54,86.02,133.92,31.13,139.21,12.18,0
2020,Fundación,Norte,Mujer,47.5,82.33,125.51,10.61,96.24,15.18,0
2021,Fundación,Norte,Mujer,168.15,82.7,209.5,8.27,132.32,11.03,12.4
2018,Guamal,Sur,Total,39.59,64,203.93,21.38,56.92,2.66,0
2019,Guamal,Sur,Total,32.27,59.22,140.31,26.59,52.69,1.88,0
2020,Guamal,Sur,Total,29.6,61.38,122.19,32.63,48.26,5.62,0
2021,Guamal,Sur,Total,119.95,56.45,239.89,31.75,123.47,7.06,4.39
2018,Guamal,Sur,Hombre,61.97,51.05,239.07,29.02,71.32,0,0
2019,Guamal,Sur,Hombre,24.66,45.03,159.95,52.37,55.27,3.79,0
2020,Guamal,Sur,Hombre,26.41,51.07,138.95,47.15,47.47,3.8,0
2021,Guamal,Sur,Hombre,150.59,68.45,253.27,54.76,109.52,0,8.47
2018,Guamal,Sur,Mujer,12.79,81.59,168.12,11.95,42.46,5.24,0
2019,Guamal,Sur,Mujer,39.69,73.75,119.79,0,49.35,0,0
2020,Guamal,Sur,Mujer,32.27,72.67,104.39,16.33,48.03,7.38,0
2021,Guamal,Sur,Mujer,87.36,43.68,225.67,7.28,138.31,14.56,0
2018,Nueva Granada,Centro,Total,8.78,29.7,63.59,32.42,34.86,3.9,0
2019,Nueva Granada,Centro,Total,18.62,28.11,90.52,21.72,57.28,0,0
2020,Nueva Granada,Centro,Total,25.75,78.93,123.77,32.27,46.45,11.6,0
2021,Nueva Granada,Centro,Total,46.52,18.61,97.7,27.91,51.17,13.96,6.9
2018,Nueva Granada,Centro,Hombre,17.76,37.21,66.74,55.19,36.7,0,0
2019,Nueva Granada,Centro,Hombre,0,31.03,93.85,43.51,69.23,0,0
2020,Nueva Granada,Centro,Hombre,19.85,77.66,142.92,54.34,32.29,20.74,0
2021,Nueva Granada,Centro,Hombre,35.6,8.9,71.19,53.4,44.5,17.8,8.37
2018,Nueva Granada,Centro,Mujer,0,22.98,64.86,9.87,35,6.93,0
2019,Nueva Granada,Centro,Mujer,45.38,24.86,87.47,0,39.16,0,0
2020,Nueva Granada,Centro,Mujer,34.01,80.85,98.78,8.45,65.19,0,0
2021,Nueva Granada,Centro,Mujer,58.49,29.25,126.73,0,58.49,9.75,5.1
2018,Pedraza,Río,Total,0,33.25,137.61,0,26.21,10.49,0
2019,Pedraza,Río,Total,6.74,42.15,96.82,0,34.48,9.4,0
2020,Pedraza,Río,Total,0,27.55,87.31,12,21.3,75.21,0
2021,Pedraza,Río,Total,31.81,31.81,127.23,10.6,74.22,10.6,0
2018,Pedraza,Río,Hombre,0,65.39,93.3,0,20.68,0,0
2019,Pedraza,Río,Hombre,0,52.1,97.21,0,25.38,0,0
2020,Pedraza,Río,Hombre,0,16.62,98.17,23.03,18.04,75.74,0
2021,Pedraza,Río,Hombre,20.4,40.8,122.4,20.4,40.8,20.4,0
2018,Pedraza,Río,Mujer,0,0,183.72,0,33.97,21.27,0
2019,Pedraza,Río,Mujer,14.38,28.84,98.64,0,43.54,20.85,0
2020,Pedraza,Río,Mujer,0,37.81,78.78,0,23.29,71.85,0
2021,Pedraza,Río,Mujer,44.15,22.08,132.45,0,110.38,0,0
2018,Pijiño del Carmen,Sur,Total,21.45,49.46,83.15,21.42,44.86,17.52,0
2019,Pijiño del Carmen,Sur,Total,31.22,75.13,48.74,14.29,97.2,19.14,0
2020,Pijiño del Carmen,Sur,Total,0,28.16,140.84,46.87,40.54,16.42,0
2021,Pijiño del Carmen,Sur,Total,83.92,22.89,152.58,15.26,76.29,0,9.8
2018,Pijiño del Carmen,Sur,Hombre,17.95,70.39,85.63,19.48,24.71,17.16,0
2019,Pijiño del Carmen,Sur,Hombre,19.64,49.19,44.22,28.02,100.88,18.56,0
2020,Pijiño del Carmen,Sur,Hombre,0,16.91,163.81,73.39,43.36,30.22,0
2021,Pijiño del Carmen,Sur,Hombre,133.06,14.78,147.84,29.57,73.92,0,0
2018,Pijiño del Carmen,Sur,Mujer,24.95,24.02,78.14,24.11,66.16,19.53,0
2019,Pijiño del Carmen,Sur,Mujer,44.55,104.98,53.37,0,92.97,20.81,0
2020,Pijiño del Carmen,Sur,Mujer,0,41.2,114.95,19.24,37.76,0,0
2021,Pijiño del Carmen,Sur,Mujer,31.53,31.53,157.63,0,78.81,0,17.86
2018,Pivijay,Río,Total,35.22,34.87,156.49,19.03,94.79,8.15,0
2019,Pivijay,Río,Total,22.93,57.16,125.81,29.13,93.88,0,0
